iter	Passed	Remaining
722	7800	12720
723	7806	12701
724	7811	12681
725	7816	12661
726	7823	12644
727	7831	12628
728	7837	12610
729	7845	12595
730	7852	12578
731	7861	12565
732	7893	12589
733	7914	12594
734	7931	12592
735	7939	12578
736	7946	12562
737	7964	12561
738	7974	12549
739	7983	12536
740	7991	12521
741	7999	12505
742	8009	12494
743	8019	12481
744	8034	12478
745	8050	12475
746	8063	12468
747	8072	12453
748	8083	12443
749	8089	12426
750	8102	12417
751	8111	12405
752	8120	12390
753	8130	12379
754	8140	12367
755	8150	12355
756	8157	12338
757	8166	12325
758	8176	12313
759	8182	12294
760	8208	12308
761	8220	12298
762	8234	12291
763	8241	12276
764	8248	12259
765	8256	12245
766	8265	12231
767	8274	12218
768	8283	12205
769	8292	12190
770	8300	12175
771	8305	12157
772	8313	12142
773	8324	12131
774	8333	12118
775	8345	12109
776	8359	12103
777	8373	12096
778	8379	12080
779	8385	12062
780	8392	12046
781	8399	12029
782	8406	12014
783	8414	11999
784	8421	11983
785	8433	11974
786	8443	11962
787	8451	11947
788	8457	11930
789	8464	11915
790	8471	11898
791	8479	11884
792	8494	11879
793	8510	11875
794	8525	11870
795	8548	11878
796	8559	11866
797	8570	11857
798	8578	11842
799	8588	11830
800	8595	11814
801	8602	11799
802	8611	11785
803	8633	11790
804	8651	11789
805	8667	11785
806	8689	11790
807	8696	11774
808	8704	11760
809	8710	11743
810	8718	11728
811	8726	11714
812	8736	11703
813	8746	11690
814	8752	11674
815	8761	11660
816	8767	11643
817	8774	11627
818	8794	11629
819	8810	11625
820	8827	11623
821	8847	11624
822	8867	11625
823	8881	11619
824	8892	11608
825	8904	11600
826	8909	11581
827	8918	11567
828	8929	11558
829	8937	11543
830	8950	11535
831	8967	11532
832	8982	11526
833	8991	11514
834	8999	11500
835	9007	11485
836	9017	11473
837	9036	11474
838	9045	11460
839	9054	11446
840	9062	11433
841	9079	11429
842	9087	11416
843	9096	11403
844	9102	11386
845	9109	11370
846	9138	11382
847	9153	11377
848	9165	11368
849	9174	11354
850	9183	11341
851	9192	11328
852	9198	11312
853	9206	11298
854	9232	11305
855	9239	11290
856	9246	11275
857	9252	11258
858	9260	11243
